Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,169.3,170,171,170.9,171.2,172.2,172.7,172.7,173.6,173.9,174.2,174.6
2001,175.6,176,176.1,176.4,177.3,177.7,177.4,177.4,178.1,177.6,177.5,177.4
2002,177.7,178,178.5,179.3,179.5,179.6,180,180.5,180.8,181.2,181.5,181.8
2003,182.6,183.6,183.9,183.2,182.9,183.1,183.7,184.5,185.1,184.9,185,185.5
2004,186.3,186.7,187.1,187.4,188.2,188.9,189.1,189.2,189.8,190.8,191.7,191.7
2005,191.6,192.4,193.1,193.7,193.6,193.7,194.9,196.1,198.8,199.1,198.1,198.1
2006,199.3,199.4,199.7,200.7,201.3,201.8,202.9,203.8,202.8,201.9,202,203.1
2007,203.437,204.226,205.288,205.904,206.755,207.234,207.603,207.667,208.547,209.19,210.834,211.445
2008,212.174,212.687,213.448,213.942,215.208,217.463,219.016,218.69,218.877,216.995,213.153,211.398
2009,211.933,212.705,212.495,212.709,213.022,214.79,214.726,215.445,215.861,216.509,217.234,217.347
2010,217.488,217.281,217.353,217.403,217.29,217.199,217.605,217.923,218.275,219.035,219.59,220.472
2011,221.187,221.898,223.046,224.093,224.806,224.806,225.395,226.106,226.597,226.75,227.169,227.223
2012,227.86,228.377,228.894,229.286,228.722,228.506,228.475,229.844,230.987,231.655,231.278,231.272
2013,231.641,233.005,232.313,231.856,231.895,232.357,232.749,233.249,233.642,233.799,234.21,234.847
2014,235.436,235.621,235.897,236.495,236.803,237.016,237.259,237.163,237.51,237.651,237.261,236.464
2015,234.954,235.415,235.859,236.197,236.876,237.423,237.734,237.703,237.489,237.949,238.302,238.041
2016,238.107,237.707,237.92,,,,,,,,,
