"","date","year","month","cpi"
"1",2000-01-01,2000,"Jan",169.3
"2",2000-02-01,2000,"Feb",170
"3",2000-03-01,2000,"Mar",171
"4",2000-04-01,2000,"Apr",170.9
"5",2000-05-01,2000,"May",171.2
"6",2000-06-01,2000,"Jun",172.2
"7",2000-07-01,2000,"Jul",172.7
"8",2000-08-01,2000,"Aug",172.7
"9",2000-09-01,2000,"Sep",173.6
"10",2000-10-01,2000,"Oct",173.9
"11",2000-11-01,2000,"Nov",174.2
"12",2000-12-01,2000,"Dec",174.6
"13",2001-01-01,2001,"Jan",175.6
"14",2001-02-01,2001,"Feb",176
"15",2001-03-01,2001,"Mar",176.1
"16",2001-04-01,2001,"Apr",176.4
"17",2001-05-01,2001,"May",177.3
"18",2001-06-01,2001,"Jun",177.7
"19",2001-07-01,2001,"Jul",177.4
"20",2001-08-01,2001,"Aug",177.4
"21",2001-09-01,2001,"Sep",178.1
"22",2001-10-01,2001,"Oct",177.6
"23",2001-11-01,2001,"Nov",177.5
"24",2001-12-01,2001,"Dec",177.4
"25",2002-01-01,2002,"Jan",177.7
"26",2002-02-01,2002,"Feb",178
"27",2002-03-01,2002,"Mar",178.5
"28",2002-04-01,2002,"Apr",179.3
"29",2002-05-01,2002,"May",179.5
"30",2002-06-01,2002,"Jun",179.6
"31",2002-07-01,2002,"Jul",180
"32",2002-08-01,2002,"Aug",180.5
"33",2002-09-01,2002,"Sep",180.8
"34",2002-10-01,2002,"Oct",181.2
"35",2002-11-01,2002,"Nov",181.5
"36",2002-12-01,2002,"Dec",181.8
"37",2003-01-01,2003,"Jan",182.6
"38",2003-02-01,2003,"Feb",183.6
"39",2003-03-01,2003,"Mar",183.9
"40",2003-04-01,2003,"Apr",183.2
"41",2003-05-01,2003,"May",182.9
"42",2003-06-01,2003,"Jun",183.1
"43",2003-07-01,2003,"Jul",183.7
"44",2003-08-01,2003,"Aug",184.5
"45",2003-09-01,2003,"Sep",185.1
"46",2003-10-01,2003,"Oct",184.9
"47",2003-11-01,2003,"Nov",185
