"","date","year","month","jobs"
"1",2000-01-01,2000,"Jan",131010
"2",2000-02-01,2000,"Feb",131140
"3",2000-03-01,2000,"Mar",131608
"4",2000-04-01,2000,"Apr",131895
"5",2000-05-01,2000,"May",132122
"6",2000-06-01,2000,"Jun",132075
"7",2000-07-01,2000,"Jul",132251
"8",2000-08-01,2000,"Aug",132241
"9",2000-09-01,2000,"Sep",132377
"10",2000-10-01,2000,"Oct",132363
"11",2000-11-01,2000,"Nov",132589
"12",2000-12-01,2000,"Dec",132731
"13",2001-01-01,2001,"Jan",132705
"14",2001-02-01,2001,"Feb",132777
"15",2001-03-01,2001,"Mar",132752
"16",2001-04-01,2001,"Apr",132471
"17",2001-05-01,2001,"May",132433
"18",2001-06-01,2001,"Jun",132302
"19",2001-07-01,2001,"Jul",132190
"20",2001-08-01,2001,"Aug",132033
"21",2001-09-01,2001,"Sep",131793
"22",2001-10-01,2001,"Oct",131468
"23",2001-11-01,2001,"Nov",131175
"24",2001-12-01,2001,"Dec",131005
"25",2002-01-01,2002,"Jan",130867
"26",2002-02-01,2002,"Feb",130733
"27",2002-03-01,2002,"Mar",130713
"28",2002-04-01,2002,"Apr",130634
"29",2002-05-01,2002,"May",130627
"30",2002-06-01,2002,"Jun",130684
"31",2002-07-01,2002,"Jul",130599
"32",2002-08-01,2002,"Aug",130585
"33",2002-09-01,2002,"Sep",130526
"34",2002-10-01,2002,"Oct",130652
"35",2002-11-01,2002,"Nov",130662
"36",2002-12-01,2002,"Dec",130505
"37",2003-01-01,2003,"Jan",130597
"38",2003-02-01,2003,"Feb",130447
"39",2003-03-01,2003,"Mar",130238
"40",2003-04-01,2003,"Apr",130194
"41",2003-05-01,2003,"May",130186
"42",2003-06-01,2003,"Jun",130195
"43",2003-07-01,2003,"Jul",130219
"44",2003-08-01,2003,"Aug",130177
"45",2003-09-01,2003,"Sep",130281
"46",2003-10-01,2003,"Oct",130479
"47",2003-11-01,2003,"Nov",130496
"48",2003-12-01,2003,"Dec",130618
"49",2004-01-01,2004,"Jan",130780
"50",2004-02-01,2004,"Feb",130826
"51",2004-03-01,2004,"Mar",131158
"52",2004-04-01,2004,"Apr",131407
"53",2004-05-01,2004,"May",131715
"54",2004-06-01,2004,"Jun",131791
"55",2004-07-01,2004,"Jul",131835
"56",2004-08-01,2004,"Aug",131956
"57",2004-09-01,2004,"Sep",132120
"58",2004-10-01,2004,"Oct",132466
"59",2004-11-01,2004,"Nov",132530
"60",2004-12-01,2004,"Dec",132660
"61",2005-01-01,2005,"Jan",132794
"62",2005-02-01,2005,"Feb",133033
"63",2005-03-01,2005,"Mar",133169
"64",2005-04-01,2005,"Apr",133534
"65",2005-05-01,2005,"May",133708
"66",2005-06-01,2005,"Jun",133955
"67",2005-07-01,2005,"Jul",134331
"68",2005-08-01,2005,"Aug",134525
"69",2005-09-01,2005,"Sep",134593
"70",2005-10-01,2005,"Oct",134678
"71",2005-11-01,2005,"Nov",135015
"72",2005-12-01,2005,"Dec",135174
"73",2006-01-01,2006,"Jan",135452
"74",2006-02-01,2006,"Feb",135768
"75",2006-03-01,2006,"Mar",136049
"76",2006-04-01,2006,"Apr",136232
"77",2006-05-01,2006,"May",136255
"78",2006-06-01,2006,"Jun",136337
"79",2006-07-01,2006,"Jul",136544
"80",2006-08-01,2006,"Aug",136725
"81",2006-09-01,2006,"Sep",136883
"82",2006-10-01,2006,"Oct",136887
"83",2006-11-01,2006,"Nov",137095
"84",2006-12-01,2006,"Dec",137266
"85",2007-01-01,2007,"Jan",137506
"86",2007-02-01,2007,"Feb",137596
"87",2007-03-01,2007,"Mar",137785
"88",2007-04-01,2007,"Apr",137864
"89",2007-05-01,2007,"May",138007
"90",2007-06-01,2007,"Jun",138085
"91",2007-07-01,2007,"Jul",138052
"92",2007-08-01,2007,"Aug",138028
"93",2007-09-01,2007,"Sep",138116
"94",2007-10-01,2007,"Oct",138201
"95",2007-11-01,2007,"Nov",138316
"96",2007-12-01,2007,"Dec",138413
"97",2008-01-01,2008,"Jan",138432
"98",2008-02-01,2008,"Feb",138346
"99",2008-03-01,2008,"Mar",138268
"100",2008-04-01,2008,"Apr",138058
"101",2008-05-01,2008,"May",137873
"102",2008-06-01,2008,"Jun",137708
"103",2008-07-01,2008,"Jul",137499
"104",2008-08-01,2008,"Aug",137233
"105",2008-09-01,2008,"Sep",136781
"106",2008-10-01,2008,"Oct",136308
"107",2008-11-01,2008,"Nov",135539
"108",2008-12-01,2008,"Dec",134844
"109",2009-01-01,2009,"Jan",134053
"110",2009-02-01,2009,"Feb",133350
"111",2009-03-01,2009,"Mar",132527
"112",2009-04-01,2009,"Apr",131841
"113",2009-05-01,2009,"May",131490
"114",2009-06-01,2009,"Jun",131020
"115",2009-07-01,2009,"Jul",130691
"116",2009-08-01,2009,"Aug",130479
"117",2009-09-01,2009,"Sep",130260
"118",2009-10-01,2009,"Oct",130060
"119",2009-11-01,2009,"Nov",130053
"120",2009-12-01,2009,"Dec",129774
"121",2010-01-01,2010,"Jan",129802
"122",2010-02-01,2010,"Feb",129733
"123",2010-03-01,2010,"Mar",129896
"124",2010-04-01,2010,"Apr",130139
"125",2010-05-01,2010,"May",130661
"126",2010-06-01,2010,"Jun",130528
"127",2010-07-01,2010,"Jul",130458
"128",2010-08-01,2010,"Aug",130424
"129",2010-09-01,2010,"Sep",130372
"130",2010-10-01,2010,"Oct",130629
"131",2010-11-01,2010,"Nov",130752
"132",2010-12-01,2010,"Dec",130840
"133",2011-01-01,2011,"Jan",130882
"134",2011-02-01,2011,"Feb",131070
"135",2011-03-01,2011,"Mar",131295
"136",2011-04-01,2011,"Apr",131641
"137",2011-05-01,2011,"May",131714
"138",2011-06-01,2011,"Jun",131949
"139",2011-07-01,2011,"Jul",132019
"140",2011-08-01,2011,"Aug",132126
"141",2011-09-01,2011,"Sep",132372
"142",2011-10-01,2011,"Oct",132574
"143",2011-11-01,2011,"Nov",132720
"144",2011-12-01,2011,"Dec",132927
"145",2012-01-01,2012,"Jan",133265
"146",2012-02-01,2012,"Feb",133522
"147",2012-03-01,2012,"Mar",133761
"148",2012-04-01,2012,"Apr",133836
"149",2012-05-01,2012,"May",133951
"150",2012-06-01,2012,"Jun",134038
"151",2012-07-01,2012,"Jul",134181
"152",2012-08-01,2012,"Aug",134371
"153",2012-09-01,2012,"Sep",134552
"154",2012-10-01,2012,"Oct",134684
"155",2012-11-01,2012,"Nov",134833
"156",2012-12-01,2012,"Dec",135076
"157",2013-01-01,2013,"Jan",135266
"158",2013-02-01,2013,"Feb",135577
"159",2013-03-01,2013,"Mar",135712
"160",2013-04-01,2013,"Apr",135904
"161",2013-05-01,2013,"May",136122
