"","date","year","month","gacdfna"
"1",2000-01-01,2000,"Jan",9.7
"2",2000-02-01,2000,"Feb",16.4
"3",2000-03-01,2000,"Mar",45
"4",2000-04-01,2000,"Apr",20.9
"5",2000-05-01,2000,"May",28
"6",2000-06-01,2000,"Jun",0
"7",2000-07-01,2000,"Jul",-10.5
"8",2000-08-01,2000,"Aug",18.2
"9",2000-09-01,2000,"Sep",16.7
"10",2000-10-01,2000,"Oct",-1.7
"11",2000-11-01,2000,"Nov",-9.2
"12",2000-12-01,2000,"Dec",-33.9
"13",2001-01-01,2001,"Jan",-37.3
"14",2001-02-01,2001,"Feb",-27.4
"15",2001-03-01,2001,"Mar",4.3
"16",2001-04-01,2001,"Apr",0.8
"17",2001-05-01,2001,"May",3
"18",2001-06-01,2001,"Jun",-9.5
"19",2001-07-01,2001,"Jul",-28
"20",2001-08-01,2001,"Aug",-17.9
"21",2001-09-01,2001,"Sep",2.2
"22",2001-10-01,2001,"Oct",-28.6
"23",2001-11-01,2001,"Nov",-34.1
"24",2001-12-01,2001,"Dec",-35.2
"25",2002-01-01,2002,"Jan",11
"26",2002-02-01,2002,"Feb",14
"27",2002-03-01,2002,"Mar",35.8
"28",2002-04-01,2002,"Apr",24.5
"29",2002-05-01,2002,"May",24
"30",2002-06-01,2002,"Jun",18.4
"31",2002-07-01,2002,"Jul",-8.9
"32",2002-08-01,2002,"Aug",-1.1
"33",2002-09-01,2002,"Sep",13.3
"34",2002-10-01,2002,"Oct",-13.2
"35",2002-11-01,2002,"Nov",-9.5
"36",2002-12-01,2002,"Dec",-15.4
"37",2003-01-01,2003,"Jan",7
"38",2003-02-01,2003,"Feb",2.9
"39",2003-03-01,2003,"Mar",17.8
"40",2003-04-01,2003,"Apr",5.2
"41",2003-05-01,2003,"May",11.8
"42",2003-06-01,2003,"Jun",2
"43",2003-07-01,2003,"Jul",-6.5
"44",2003-08-01,2003,"Aug",21.9
"45",2003-09-01,2003,"Sep",27.5
"46",2003-10-01,2003,"Oct",22.3
"47",2003-11-01,2003,"Nov",9.9
"48",2003-12-01,2003,"Dec",5.4
"49",2004-01-01,2004,"Jan",38.6
"50",2004-02-01,2004,"Feb",34
"51",2004-03-01,2004,"Mar",49.4
"52",2004-04-01,2004,"Apr",44.2
"53",2004-05-01,2004,"May",40
"54",2004-06-01,2004,"Jun",28.7
"55",2004-07-01,2004,"Jul",20.9
"56",2004-08-01,2004,"Aug",28.6
"57",2004-09-01,2004,"Sep",24.4
"58",2004-10-01,2004,"Oct",21.6
"59",2004-11-01,2004,"Nov",2.7
"60",2004-12-01,2004,"Dec",4.7
"61",2005-01-01,2005,"Jan",16.3
"62",2005-02-01,2005,"Feb",28.1
"63",2005-03-01,2005,"Mar",33.4
"64",2005-04-01,2005,"Apr",36.8
"65",2005-05-01,2005,"May",19.4
"66",2005-06-01,2005,"Jun",-3.5
"67",2005-07-01,2005,"Jul",-5
"68",2005-08-01,2005,"Aug",16.9
"69",2005-09-01,2005,"Sep",10.7
"70",2005-10-01,2005,"Oct",0
"71",2005-11-01,2005,"Nov",-5.8
"72",2005-12-01,2005,"Dec",-8.1
"73",2006-01-01,2006,"Jan",8.3
"74",2006-02-01,2006,"Feb",21.3
"75",2006-03-01,2006,"Mar",31.5
"76",2006-04-01,2006,"Apr",25
"77",2006-05-01,2006,"May",23.5
"78",2006-06-01,2006,"Jun",9.6
"79",2006-07-01,2006,"Jul",-8.6
"80",2006-08-01,2006,"Aug",19.7
"81",2006-09-01,2006,"Sep",3.3
"82",2006-10-01,2006,"Oct",-2.3
"83",2006-11-01,2006,"Nov",-11.3
"84",2006-12-01,2006,"Dec",-23.3
"85",2007-01-01,2007,"Jan",10.2
"86",2007-02-01,2007,"Feb",8.7
"87",2007-03-01,2007,"Mar",18.8
"88",2007-04-01,2007,"Apr",13.5
"89",2007-05-01,2007,"May",14.1
"90",2007-06-01,2007,"Jun",15.5
"91",2007-07-01,2007,"Jul",-5.9
"92",2007-08-01,2007,"Aug",7.1
"93",2007-09-01,2007,"Sep",11.9
"94",2007-10-01,2007,"Oct",2.2
"95",2007-11-01,2007,"Nov",-8.5
"96",2007-12-01,2007,"Dec",-26.7
"97",2008-01-01,2008,"Jan",-15.1
"98",2008-02-01,2008,"Feb",-15.6
"99",2008-03-01,2008,"Mar",1.2
"100",2008-04-01,2008,"Apr",-10.6
"101",2008-05-01,2008,"May",-5.6
"102",2008-06-01,2008,"Jun",-19.3
"103",2008-07-01,2008,"Jul",-29.1
"104",2008-08-01,2008,"Aug",-11.4
"105",2008-09-01,2008,"Sep",6.5
"106",2008-10-01,2008,"Oct",-43.7
"107",2008-11-01,2008,"Nov",-55.3
"108",2008-12-01,2008,"Dec",-58
"109",2009-01-01,2009,"Jan",-27.4
"110",2009-02-01,2009,"Feb",-34.6
"111",2009-03-01,2009,"Mar",-17.9
"112",2009-04-01,2009,"Apr",-13.9
"113",2009-05-01,2009,"May",-11.9
"114",2009-06-01,2009,"Jun",-3.8
"115",2009-07-01,2009,"Jul",-20
"116",2009-08-01,2009,"Aug",13
"117",2009-09-01,2009,"Sep",18.7
"118",2009-10-01,2009,"Oct",7.1
"119",2009-11-01,2009,"Nov",1.2
"120",2009-12-01,2009,"Dec",-1.5
"121",2010-01-01,2010,"Jan",17.5
"122",2010-02-01,2010,"Feb",19.4
"123",2010-03-01,2010,"Mar",32.4
"124",2010-04-01,2010,"Apr",28.6
"125",2010-05-01,2010,"May",31.2
"126",2010-06-01,2010,"Jun",9.2
"127",2010-07-01,2010,"Jul",-6
"128",2010-08-01,2010,"Aug",5.3
"129",2010-09-01,2010,"Sep",7.5
"130",2010-10-01,2010,"Oct",-3.7
"131",2010-11-01,2010,"Nov",4.9
"132",2010-12-01,2010,"Dec",0
"133",2011-01-01,2011,"Jan",20.5
"134",2011-02-01,2011,"Feb",34.2
"135",2011-03-01,2011,"Mar",55.7
"136",2011-04-01,2011,"Apr",26.8
"137",2011-05-01,2011,"May",13.9
"138",2011-06-01,2011,"Jun",-7.9
"139",2011-07-01,2011,"Jul",-7
"140",2011-08-01,2011,"Aug",-19.8
"141",2011-09-01,2011,"Sep",-8.2
"142",2011-10-01,2011,"Oct",3.8
"143",2011-11-01,2011,"Nov",-9.8
"144",2011-12-01,2011,"Dec",-10.5
"145",2012-01-01,2012,"Jan",10.5
"146",2012-02-01,2012,"Feb",14.6
"147",2012-03-01,2012,"Mar",29
"148",2012-04-01,2012,"Apr",20.2
"149",2012-05-01,2012,"May",4.9
"150",2012-06-01,2012,"Jun",-20.6
"151",2012-07-01,2012,"Jul",-26.1
"152",2012-08-01,2012,"Aug",-3.7
"153",2012-09-01,2012,"Sep",2.6
"154",2012-10-01,2012,"Oct",-1.3
"155",2012-11-01,2012,"Nov",-23.7
"156",2012-12-01,2012,"Dec",-9.2
"157",2013-01-01,2013,"Jan",0
"158",2013-02-01,2013,"Feb",-2.9
"159",2013-03-01,2013,"Mar",22.4
"160",2013-04-01,2013,"Apr",15
"161",2013-05-01,2013,"May",4.6
"162",2013-06-01,2013,"Jun",5.2
"163",2013-07-01,2013,"Jul",2.8
"164",2013-08-01,2013,"Aug",7.6
"165",2013-09-01,2013,"Sep",23.7
"166",2013-10-01,2013,"Oct",14.3
"167",2013-11-01,2013,"Nov",-7.8
"168",2013-12-01,2013,"Dec",-6.8
"169",2014-01-01,2014,"Jan",15.1
"170",2014-02-01,2014,"Feb",2.7
"171",2014-03-01,2014,"Mar",32.8
"172",2014-04-01,2014,"Apr",30.6
"173",2014-05-01,2014,"May",21.7
"174",2014-06-01,2014,"Jun",8.5
"175",2014-07-01,2014,"Jul",8.7
"176",2014-08-01,2014,"Aug",22.7
"177",2014-09-01,2014,"Sep",25.9
"178",2014-10-01,2014,"Oct",19.4
"179",2014-11-01,2014,"Nov",23.8
"180",2014-12-01,2014,"Dec",11.3
"181",2015-01-01,2015,"Jan",11.4
"182",2015-02-01,2015,"Feb",9.9
"183",2015-03-01,2015,"Mar",27.1
"184",2015-04-01,2015,"Apr",22.1
"185",2015-05-01,2015,"May",10.1
"186",2015-06-01,2015,"Jun",4.1
"187",2015-07-01,2015,"Jul",-8.4
"188",2015-08-01,2015,"Aug",5.5
"189",2015-09-01,2015,"Sep",1.3
"190",2015-10-01,2015,"Oct",-4.1
"191",2015-11-01,2015,"Nov",-14.5
"192",2015-12-01,2015,"Dec",-18.9
"193",2016-01-01,2016,"Jan",-7.3
"194",2016-02-01,2016,"Feb",-7.2
"195",2016-03-01,2016,"Mar",28.3
"196",2016-04-01,2016,"Apr",9.1
