"","date","year","month","adj.close"
"1",2016-05-01,2016,"May",2081.43
"2",2016-04-01,2016,"Apr",2072.780029
"3",2016-03-01,2016,"Mar",2059.73999
"4",2016-02-01,2016,"Feb",1932.22998
"5",2016-01-04,2016,"Jan",1940.23999
"6",2015-12-01,2015,"Dec",2043.939941
"7",2015-11-02,2015,"Nov",2080.409912
"8",2015-10-01,2015,"Oct",2079.360107
"9",2015-09-01,2015,"Sep",1920.030029
"10",2015-08-03,2015,"Aug",1972.180054
"11",2015-07-01,2015,"Jul",2103.840088
"12",2015-06-01,2015,"Jun",2063.110107
"13",2015-05-01,2015,"May",2107.389893
"14",2015-04-01,2015,"Apr",2085.51001
"15",2015-03-02,2015,"Mar",2067.889893
"16",2015-02-02,2015,"Feb",2104.5
"17",2015-01-02,2015,"Jan",1994.98999
"18",2014-12-01,2014,"Dec",2058.899902
"19",2014-11-03,2014,"Nov",2067.560059
"20",2014-10-01,2014,"Oct",2018.050049
"21",2014-09-02,2014,"Sep",1972.290039
"22",2014-08-01,2014,"Aug",2003.369995
"23",2014-07-01,2014,"Jul",1930.670044
"24",2014-06-02,2014,"Jun",1960.22998
"25",2014-05-01,2014,"May",1923.569946
"26",2014-04-01,2014,"Apr",1883.949951
"27",2014-03-03,2014,"Mar",1872.339966
"28",2014-02-03,2014,"Feb",1859.449951
"29",2014-01-02,2014,"Jan",1782.589966
"30",2013-12-02,2013,"Dec",1848.359985
"31",2013-11-01,2013,"Nov",1805.810059
"32",2013-10-01,2013,"Oct",1756.540039
"33",2013-09-03,2013,"Sep",1681.550049
"34",2013-08-01,2013,"Aug",1632.969971
"35",2013-07-01,2013,"Jul",1685.72998
"36",2013-06-03,2013,"Jun",1606.280029
"37",2013-05-01,2013,"May",1630.73999
"38",2013-04-01,2013,"Apr",1597.569946
"39",2013-03-01,2013,"Mar",1569.189941
"40",2013-02-01,2013,"Feb",1514.680054
"41",2013-01-02,2013,"Jan",1498.109985
"42",2012-12-03,2012,"Dec",1426.189941
"43",2012-11-01,2012,"Nov",1416.180054
"44",2012-10-01,2012,"Oct",1412.160034
"45",2012-09-04,2012,"Sep",1440.670044
"46",2012-08-01,2012,"Aug",1406.579956
"47",2012-07-02,2012,"Jul",1379.319946
"48",2012-06-01,2012,"Jun",1362.160034
"49",2012-05-01,2012,"May",1310.329956
"50",2012-04-02,2012,"Apr",1397.910034
"51",2012-03-01,2012,"Mar",1408.469971
"52",2012-02-01,2012,"Feb",1365.680054
"53",2012-01-03,2012,"Jan",1312.410034
"54",2011-12-01,2011,"Dec",1257.599976
"55",2011-11-01,2011,"Nov",1246.959961
"56",2011-10-03,2011,"Oct",1253.300049
"57",2011-09-01,2011,"Sep",1131.420044
"58",2011-08-01,2011,"Aug",1218.890015
"59",2011-07-01,2011,"Jul",1292.280029
"60",2011-06-01,2011,"Jun",1320.640015
"61",2011-05-02,2011,"May",1345.199951
"62",2011-04-01,2011,"Apr",1363.609985
"63",2011-03-01,2011,"Mar",1325.829956
"64",2011-02-01,2011,"Feb",1327.219971
"65",2011-01-03,2011,"Jan",1286.119995
"66",2010-12-01,2010,"Dec",1257.640015
"67",2010-11-01,2010,"Nov",1180.550049
"68",2010-10-01,2010,"Oct",1183.26001
"69",2010-09-01,2010,"Sep",1141.199951
"70",2010-08-02,2010,"Aug",1049.329956
"71",2010-07-01,2010,"Jul",1101.599976
"72",2010-06-01,2010,"Jun",1030.709961
"73",2010-05-03,2010,"May",1089.410034
"74",2010-04-01,2010,"Apr",1186.689941
"75",2010-03-01,2010,"Mar",1169.430054
"76",2010-02-01,2010,"Feb",1104.48999
"77",2010-01-04,2010,"Jan",1073.869995
"78",2009-12-01,2009,"Dec",1115.099976
"79",2009-11-02,2009,"Nov",1095.630005
"80",2009-10-01,2009,"Oct",1036.189941
"81",2009-09-01,2009,"Sep",1057.079956
"82",2009-08-03,2009,"Aug",1020.619995
"83",2009-07-01,2009,"Jul",987.47998
"84",2009-06-01,2009,"Jun",919.320007
"85",2009-05-01,2009,"May",919.140015
"86",2009-04-01,2009,"Apr",872.809998
"87",2009-03-02,2009,"Mar",797.869995
"88",2009-02-02,2009,"Feb",735.090027
"89",2009-01-02,2009,"Jan",825.880005
"90",2008-12-01,2008,"Dec",903.25
"91",2008-11-03,2008,"Nov",896.23999
"92",2008-10-01,2008,"Oct",968.75
"93",2008-09-02,2008,"Sep",1166.359985
"94",2008-08-01,2008,"Aug",1282.829956
"95",2008-07-01,2008,"Jul",1267.380005
"96",2008-06-02,2008,"Jun",1280
"97",2008-05-01,2008,"May",1400.380005
"98",2008-04-01,2008,"Apr",1385.589966
"99",2008-03-03,2008,"Mar",1322.699951
"100",2008-02-01,2008,"Feb",1330.630005
"101",2008-01-02,2008,"Jan",1378.550049
"102",2007-12-03,2007,"Dec",1468.359985
"103",2007-11-01,2007,"Nov",1481.140015
"104",2007-10-01,2007,"Oct",1549.380005
"105",2007-09-04,2007,"Sep",1526.75
"106",2007-08-01,2007,"Aug",1473.98999
"107",2007-07-02,2007,"Jul",1455.27002
"108",2007-06-01,2007,"Jun",1503.349976
"109",2007-05-01,2007,"May",1530.619995
"110",2007-04-02,2007,"Apr",1482.369995
"111",2007-03-01,2007,"Mar",1420.859985
"112",2007-02-01,2007,"Feb",1406.819946
"113",2007-01-03,2007,"Jan",1438.23999
"114",2006-12-01,2006,"Dec",1418.300049
"115",2006-11-01,2006,"Nov",1400.630005
"116",2006-10-02,2006,"Oct",1377.939941
"117",2006-09-01,2006,"Sep",1335.849976
"118",2006-08-01,2006,"Aug",1303.819946
"119",2006-07-03,2006,"Jul",1276.660034
"120",2006-06-01,2006,"Jun",1270.199951
"121",2006-05-01,2006,"May",1270.089966
"122",2006-04-03,2006,"Apr",1310.609985
"123",2006-03-01,2006,"Mar",1294.869995
"124",2006-02-01,2006,"Feb",1280.660034
"125",2006-01-03,2006,"Jan",1280.079956
"126",2005-12-01,2005,"Dec",1248.290039
"127",2005-11-01,2005,"Nov",1249.47998
"128",2005-10-03,2005,"Oct",1207.01001
"129",2005-09-01,2005,"Sep",1228.810059
"130",2005-08-01,2005,"Aug",1220.329956
"131",2005-07-01,2005,"Jul",1234.180054
"132",2005-06-01,2005,"Jun",1191.329956
"133",2005-05-02,2005,"May",1191.5
"134",2005-04-01,2005,"Apr",1156.849976
"135",2005-03-01,2005,"Mar",1180.589966
"136",2005-02-01,2005,"Feb",1203.599976
"137",2005-01-03,2005,"Jan",1181.27002
"138",2004-12-01,2004,"Dec",1211.920044
"139",2004-11-01,2004,"Nov",1173.819946
"140",2004-10-01,2004,"Oct",1130.199951
"141",2004-09-01,2004,"Sep",1114.579956
"142",2004-08-02,2004,"Aug",1104.23999
"143",2004-07-01,2004,"Jul",1101.719971
"144",2004-06-01,2004,"Jun",1140.839966
"145",2004-05-03,2004,"May",1120.680054
"146",2004-04-01,2004,"Apr",1107.300049
"147",2004-03-01,2004,"Mar",1126.209961
"148",2004-02-02,2004,"Feb",1144.939941
"149",2004-01-02,2004,"Jan",1131.130005
"150",2003-12-01,2003,"Dec",1111.920044
"151",2003-11-03,2003,"Nov",1058.199951
"152",2003-10-01,2003,"Oct",1050.709961
"153",2003-09-02,2003,"Sep",995.969971
"154",2003-08-01,2003,"Aug",1008.01001
"155",2003-07-01,2003,"Jul",990.309998
"156",2003-06-02,2003,"Jun",974.5
"157",2003-05-01,2003,"May",963.590027
"158",2003-04-01,2003,"Apr",916.919983
"159",2003-03-03,2003,"Mar",848.179993
"160",2003-02-03,2003,"Feb",841.150024
"161",2003-01-02,2003,"Jan",855.700012
"162",2002-12-02,2002,"Dec",879.820007
"163",2002-11-01,2002,"Nov",936.309998
"164",2002-10-01,2002,"Oct",885.76001
"165",2002-09-03,2002,"Sep",815.280029
"166",2002-08-01,2002,"Aug",916.070007
"167",2002-07-01,2002,"Jul",911.619995
"168",2002-06-03,2002,"Jun",989.820007
"169",2002-05-01,2002,"May",1067.140015
"170",2002-04-01,2002,"Apr",1076.920044
"171",2002-03-01,2002,"Mar",1147.390015
"172",2002-02-01,2002,"Feb",1106.72998
"173",2002-01-02,2002,"Jan",1130.199951
"174",2001-12-03,2001,"Dec",1148.079956
"175",2001-11-01,2001,"Nov",1139.449951
"176",2001-10-01,2001,"Oct",1059.780029
"177",2001-09-04,2001,"Sep",1040.939941
