"","date","year","month","starts"
"1",2000-01-01,2000,"Jan",104
"2",2000-02-01,2000,"Feb",119.7
"3",2000-03-01,2000,"Mar",133.4
"4",2000-04-01,2000,"Apr",149.5
"5",2000-05-01,2000,"May",152.9
"6",2000-06-01,2000,"Jun",146.3
"7",2000-07-01,2000,"Jul",135
"8",2000-08-01,2000,"Aug",141.4
"9",2000-09-01,2000,"Sep",128.9
"10",2000-10-01,2000,"Oct",139.7
"11",2000-11-01,2000,"Nov",117.1
"12",2000-12-01,2000,"Dec",100.7
"13",2001-01-01,2001,"Jan",106.4
"14",2001-02-01,2001,"Feb",108.2
"15",2001-03-01,2001,"Mar",133.2
"16",2001-04-01,2001,"Apr",151.3
"17",2001-05-01,2001,"May",154
"18",2001-06-01,2001,"Jun",155.2
"19",2001-07-01,2001,"Jul",154.6
"20",2001-08-01,2001,"Aug",141.5
"21",2001-09-01,2001,"Sep",133.1
"22",2001-10-01,2001,"Oct",139.8
"23",2001-11-01,2001,"Nov",121
"24",2001-12-01,2001,"Dec",104.6
"25",2002-01-01,2002,"Jan",110.4
"26",2002-02-01,2002,"Feb",120.4
"27",2002-03-01,2002,"Mar",138.2
"28",2002-04-01,2002,"Apr",148.8
"29",2002-05-01,2002,"May",165.5
"30",2002-06-01,2002,"Jun",160.3
"31",2002-07-01,2002,"Jul",155.9
"32",2002-08-01,2002,"Aug",147
"33",2002-09-01,2002,"Sep",155.6
"34",2002-10-01,2002,"Oct",146.8
"35",2002-11-01,2002,"Nov",133
"36",2002-12-01,2002,"Dec",123.1
"37",2003-01-01,2003,"Jan",117.8
"38",2003-02-01,2003,"Feb",109.7
"39",2003-03-01,2003,"Mar",147.2
"40",2003-04-01,2003,"Apr",151.2
"41",2003-05-01,2003,"May",165
"42",2003-06-01,2003,"Jun",174.5
"43",2003-07-01,2003,"Jul",175.8
"44",2003-08-01,2003,"Aug",163.8
"45",2003-09-01,2003,"Sep",171.3
"46",2003-10-01,2003,"Oct",173.5
"47",2003-11-01,2003,"Nov",153.7
"48",2003-12-01,2003,"Dec",144.2
"49",2004-01-01,2004,"Jan",124.5
"50",2004-02-01,2004,"Feb",126.4
"51",2004-03-01,2004,"Mar",173.8
"52",2004-04-01,2004,"Apr",179.5
"53",2004-05-01,2004,"May",187.6
"54",2004-06-01,2004,"Jun",172.3
"55",2004-07-01,2004,"Jul",182
"56",2004-08-01,2004,"Aug",185.9
"57",2004-09-01,2004,"Sep",164
"58",2004-10-01,2004,"Oct",181.3
"59",2004-11-01,2004,"Nov",138.1
