date,starts
Jan 1959,96.2
Feb 1959,99.0
Mar 1959,127.7
Apr 1959,150.8
May 1959,152.5
Jun 1959,147.8
Jul 1959,148.1
Aug 1959,138.2
Sep 1959,136.4
Oct 1959,120.0
Nov 1959,104.7
Dec 1959,95.6
Jan 1960,86.0
Feb 1960,90.7
Mar 1960,90.5
Apr 1960,123.0
May 1960,130.2
Jun 1960,122.8
Jul 1960,114.3
Aug 1960,130.3
Sep 1960,96.9
Oct 1960,110.4
Nov 1960,92.8
Dec 1960,64.2
Jan 1961,70.4
Feb 1961,74.1
Mar 1961,104.2
Apr 1961,112.8
May 1961,127.6
Jun 1961,134.8
Jul 1961,126.6
Aug 1961,127.1
Sep 1961,125.4
Oct 1961,124.8
Nov 1961,103.0
Dec 1961,82.2
Jan 1962,81.2
Feb 1962,77.1
Mar 1962,116.2
Apr 1962,147.8
May 1962,155.2
Jun 1962,136.8
Jul 1962,136.5
Aug 1962,147.7
Sep 1962,114.3
Oct 1962,135.2
Nov 1962,120.9
Dec 1962,93.9
Jan 1963,79.0
Feb 1963,89.6
Mar 1963,124.8
Apr 1963,164.2
May 1963,172.7
Jun 1963,154.2
Jul 1963,151.3
Aug 1963,144.0
Sep 1963,143.7
Oct 1963,165.3
Nov 1963,119.3
Dec 1963,95.0
Jan 1964,97.9
Feb 1964,101.3
Mar 1964,129.1
Apr 1964,147.1
May 1964,152.8
Jun 1964,157.2
Jul 1964,140.6
Aug 1964,138.3
Sep 1964,119.8
Oct 1964,141.2
Nov 1964,110.6
Dec 1964,93.0
Jan 1965,81.7
Feb 1965,80.9
Mar 1965,119.9
Apr 1965,148.6
May 1965,153.3
Jun 1965,151.8
Jul 1965,139.1
Aug 1965,128.3
Sep 1965,124.6
Oct 1965,133.1
Nov 1965,110.5
Dec 1965,101.1
Jan 1966,79.4
Feb 1966,76.2
Mar 1966,118.1
Apr 1966,140.9
May 1966,130.0
Jun 1966,120.6
Jul 1966,99.2
Aug 1966,101.8
Sep 1966,89.1
Oct 1966,76.6
Nov 1966,72.8
Dec 1966,60.2
Jan 1967,59.1
Feb 1967,61.4
Mar 1967,91.5
Apr 1967,113.7
May 1967,132.0
Jun 1967,125.4
Jul 1967,125.3
Aug 1967,127.4
Sep 1967,121.9
Oct 1967,135.4
Nov 1967,118.4
Dec 1967,80.1
Jan 1968,80.5
Feb 1968,84.6
Mar 1968,126.6
Apr 1968,162.0
May 1968,140.9
Jun 1968,137.9
Jul 1968,139.8
Aug 1968,136.6
Sep 1968,134.2
Oct 1968,140.8
Nov 1968,127.1
Dec 1968,96.4
Jan 1969,101.5
Feb 1969,90.1
Mar 1969,131.9
Apr 1969,159.0
May 1969,155.5
Jun 1969,147.3
Jul 1969,125.2
Aug 1969,124.9
Sep 1969,129.3
Oct 1969,123.4
Nov 1969,94.6
Dec 1969,84.1
Jan 1970,66.4
Feb 1970,74.3
Mar 1970,114.7
Apr 1970,128.4
May 1970,125.0
Jun 1970,135.2
Jul 1970,140.8
Aug 1970,128.7
Sep 1970,130.9
Oct 1970,140.9
Nov 1970,126.9
Dec 1970,121.4
Jan 1971,110.6
Feb 1971,102.2
Mar 1971,167.9
Apr 1971,201.1
May 1971,198.5
Jun 1971,193.8
Jul 1971,194.3
Aug 1971,204.5
Sep 1971,173.8
Oct 1971,179.7
Nov 1971,173.7
Dec 1971,152.1
Jan 1972,149.1
Feb 1972,152.2
Mar 1972,203.9
Apr 1972,211.6
May 1972,225.8
Jun 1972,223.1
Jul 1972,206.5
Aug 1972,228.6
Sep 1972,203.0
Oct 1972,216.5
Nov 1972,185.7
Dec 1972,150.5
Jan 1973,146.6
Feb 1973,138.0
Mar 1973,200.0
Apr 1973,205.0
May 1973,234.0
Jun 1973,202.6
Jul 1973,202.6
Aug 1973,197.2
Sep 1973,148.4
Oct 1973,147.1
Nov 1973,133.3
Dec 1973,90.4
Jan 1974,84.5
Feb 1974,109.4
Mar 1974,124.8
Apr 1974,159.5
May 1974,149.0
Jun 1974,147.6
Jul 1974,126.6
Aug 1974,111.1
Sep 1974,98.3
Oct 1974,96.7
Nov 1974,75.1
Dec 1974,55.1
Jan 1975,56.1
Feb 1975,54.7
Mar 1975,80.2
Apr 1975,97.9
May 1975,116.1
Jun 1975,110.3
Jul 1975,119.3
Aug 1975,117.3
Sep 1975,111.9
Oct 1975,123.6
Nov 1975,96.9
Dec 1975,76.1
Jan 1976,72.5
Feb 1976,89.9
Mar 1976,118.4
Apr 1976,137.2
May 1976,147.9
Jun 1976,154.2
Jul 1976,136.6
Aug 1976,145.9
Sep 1976,151.8
Oct 1976,148.4
Nov 1976,127.1
Dec 1976,107.4
Jan 1977,81.3
Feb 1977,112.5
Mar 1977,173.6
Apr 1977,182.2
May 1977,201.3
Jun 1977,197.6
Jul 1977,189.8
Aug 1977,194.0
Sep 1977,177.7
Oct 1977,193.1
Nov 1977,154.8
Dec 1977,129.2
Jan 1978,88.6
Feb 1978,101.3
Mar 1978,172.1
Apr 1978,197.5
May 1978,211.0
Jun 1978,216.0
Jul 1978,192.2
Aug 1978,190.9
Sep 1978,180.5
Oct 1978,192.1
Nov 1978,158.6
Dec 1978,119.5
Jan 1979,88.2
Feb 1979,84.5
Mar 1979,152.9
Apr 1979,161.0
May 1979,189.1
Jun 1979,191.8
Jul 1979,164.2
Aug 1979,170.3
Sep 1979,163.7
Oct 1979,169.0
Nov 1979,118.7
Dec 1979,91.6
Jan 1980,73.1
Feb 1980,79.9
Mar 1980,85.1
Apr 1980,96.2
May 1980,91.7
Jun 1980,116.4
Jul 1980,120.1
Aug 1980,129.9
Sep 1980,138.3
Oct 1980,152.7
Nov 1980,112.9
Dec 1980,95.9
Jan 1981,84.5
Feb 1981,71.9
Mar 1981,107.8
Apr 1981,123.0
May 1981,109.9
Jun 1981,105.8
Jul 1981,99.9
Aug 1981,86.3
Sep 1981,84.1
Oct 1981,87.2
Nov 1981,64.6
Dec 1981,59.1
Jan 1982,47.2
Feb 1982,51.3
Mar 1982,78.2
Apr 1982,84.1
May 1982,98.8
Jun 1982,91.1
Jul 1982,106.8
Aug 1982,96.0
Sep 1982,106.4
Oct 1982,110.5
Nov 1982,108.9
Dec 1982,82.9
Jan 1983,91.3
Feb 1983,96.3
Mar 1983,134.6
Apr 1983,135.8
May 1983,174.9
Jun 1983,173.2
Jul 1983,161.6
Aug 1983,176.8
Sep 1983,154.9
Oct 1983,159.3
Nov 1983,136.0
Dec 1983,108.3
Jan 1984,109.1
Feb 1984,130.0
Mar 1984,137.5
Apr 1984,172.7
May 1984,180.7
Jun 1984,184.0
Jul 1984,162.1
Aug 1984,147.4
